loc_id,am_trip_count,pm_trip_count,borough_name,zone_name,pm_minus_am,pm_am_ratio,pm_increase_pct
100,148298,217786,Manhattan,Garment District,69488,1.4685700414031206,46.85700414031208
101,967,1035,Queens,Glen Oaks,68,1.0703205791106516,7.0320579110651495
102,2761,2240,Queens,Glendale,-521,0.8113002535313292,-18.869974646867078
105,1,6,Manhattan,Governor's Island/Ellis Island/Liberty Island,5,6.0,500.0
106,3259,3696,Brooklyn,Gowanus,437,1.134090211721387,13.409021172138694
107,201317,276587,Manhattan,Gramercy,75270,1.3738879478633201,37.388794786332
108,2933,1740,Brooklyn,Gravesend,-1193,0.5932492328673713,-40.67507671326287
109,57,14,Staten Island,Great Kills,-43,0.24561403508771928,-75.43859649122807
111,47,46,Brooklyn,Green-Wood Cemetery,-1,0.9787234042553191,-2.127659574468085
112,11578,14221,Brooklyn,Greenpoint,2643,1.228277768181033,22.8277768181033
113,115792,211600,Manhattan,Greenwich Village North,95808,1.8274146745889182,82.7414674588918
114,51688,141175,Manhattan,Greenwich Village South,89487,2.7312915957282153,173.12915957282152
115,249,54,Staten Island,Grymes Hill/Clifton,-195,0.21686746987951808,-78.3132530120482
116,35424,27503,Manhattan,Hamilton Heights,-7921,0.7763945347786811,-22.360546522131887
117,5533,2762,Queens,Hammels/Arverne,-2771,0.49918669799385507,-50.081330200614495
118,107,78,Staten Island,Heartland Village/Todt Hill,-29,0.7289719626168224,-27.102803738317753
119,5328,2769,Bronx,Highbridge,-2559,0.5197072072072072,-48.02927927927928
120,347,339,Manhattan,Highbridge Park,-8,0.9769452449567724,-2.3054755043227666
121,3158,3001,Queens,Hillcrest/Pomonok,-157,0.9502849905003167,-4.971500949968334
122,2885,1305,Queens,Hollis,-1580,0.45233968804159447,-54.76603119584056
123,3204,3882,Brooklyn,Homecrest,678,1.2116104868913857,21.161048689138575
124,2210,2010,Queens,Howard Beach,-200,0.9095022624434389,-9.049773755656108
125,44864,76235,Manhattan,Hudson Sq,31371,1.6992466119828815,69.92466119828816
126,3339,2822,Bronx,Hunts Point,-517,0.845163222521713,-15.483677747828692
127,7150,6564,Manhattan,Inwood,-586,0.9180419580419581,-8.195804195804197
128,448,700,Manhattan,Inwood Hill Park,252,1.5625,56.25
129,15993,13855,Queens,Jackson Heights,-2138,0.8663165134746451,-13.368348652535483
130,9308,16503,Queens,Jamaica,7195,1.772990975504942,77.2990975504942
131,3785,2506,Queens,Jamaica Estates,-1279,0.6620871862615588,-33.79128137384412
132,318219,718535,Queens,JFK Airport,400316,2.2579889950002987,125.79889950002985
133,5594,3407,Brooklyn,Kensington,-2187,0.6090454057919199,-39.09545942080801
134,3780,5238,Queens,Kew Gardens,1458,1.3857142857142857,38.57142857142858
135,2844,2037,Queens,Kew Gardens Hills,-807,0.7162447257383966,-28.375527426160335
136,3102,2177,Bronx,Kingsbridge Heights,-925,0.7018052869116699,-29.819471308833013
